"Nom","Description","Redirect","Affichage","NomParent","Poids","Alias"
"Défense des droits de l'enfant","","","","","0",""
"Les activités syndicales","Une discrimination peut être caractérisée par le conditionnement d’une décision à l’appartenance ou la non appartenance à une organisation syndicale.
Exemple : Le refus d’avancement professionnel du fait de l’exercice d’activités syndicales.
","","","Lutte contre les discriminations","0",""
"Le handicap","Constitue un handicap, au sens de la loi n° 2005-102 du 11 février 2005, « toute limitation d’activité ou restriction de participation à la vie en société subie dans son environnement par une personne en raison d’une altération substantielle, durable ou définitive d’une ou plusieurs fonctions physiques, sensorielles, mentales, cognitives ou psychiques, d’un polyhandicap ou d’un trouble de santé invalidant ».
Les discriminations à raison du handicap peuvent survenir dans différents domaines de la vie (en matière de transports, de logement, d’accès aux loisirs…) mais c’est dans le domaine de l’emploi qu’elles sont le plus fréquentes.
Les employeurs sont ainsi tenus de prendre les « mesures appropriées » pour permettre aux travailleurs handicapés d’accéder à un emploi correspondant à leur qualification ou de le conserver grâce à des aménagements de poste.
","","","Lutte contre les discriminations","1",""
"Discrimination dans l'emploi privé","","","","Lutte contre les discriminations","2",""
"L'apparence physique","Une discrimination à raison de l’apparence physique se fonde sur les traits ou caractéristiques physiques d’une personne pour prendre une décision qui lui est préjudiciable.
Exemple : Le refus d’embauche d’une personne atteinte d’obésité en raison de son aspect physique.
","","","Lutte contre les discriminations","3",""
"Discrimination fondée sur l'âge","Une décision préjudiciable ne peut être fondée sur l’âge. Ce type de discrimination peut concerner aussi bien les jeunes que les personnes âgées.
Exemple : Le refus d’embaucher une personne en raison de son âge.
","","","Lutte contre les discriminations","4",""
"Déontologie de la sécurité","Le Défenseur des droits est chargé de veiller au respect des règles de bonne conduite par les personnes exerçant des activités de sécurité sur le territoire de la République.
","","","","6",""
"Lutte contre les discriminations","Le Défenseur des droits combat les inégalités fondées à partir des 19 critères prohibés par la loi, comme l’origine ou le handicap, dans le domaine de l’emploi, du logement, de l’éducation et de l’accès aux biens et services.
","","","","7",""
"Droits des usagers des services publics","Le Défenseur des droits est chargé d’améliorer les relations entre le citoyen, l’administration et le service public, notamment par la médiation.
","","","","8",""
